"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2322","input fields","mobile","Fri Jan 03 09:51:10 CET 2025","passed","Fri Jan 03 09:51:12 CET 2025","","testMobile.spec.ts","",""
"","1906","input fields","dev","Fri Jan 03 09:51:08 CET 2025","passed","Fri Jan 03 09:51:09 CET 2025","","testMobile.spec.ts","",""
